Player	TEAM	AGE	GP	W	L	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	DD2	TD3	PTS	+/-
Allen Iverson	PHI	24	48	28	20	41.5	9.1	22.0	41.2	1.2	4.1	29.1	7.4	9.9	75.1	1.4	3.5	4.9	4.6	3.5	2.3	0.1	2.0	4	0	26.8	3.9
Gary Payton	SEA	30	50	25	25	40.2	8.0	18.5	43.4	1.7	5.6	29.5	4.0	5.5	72.1	1.2	3.6	4.9	8.7	3.1	2.2	0.2	2.3	19	1	21.7	0.5
Stephon Marbury	NJN	22	49	25	24	38.6	7.7	18.0	42.8	1.3	4.0	33.5	4.5	5.7	79.9	0.8	2.1	2.9	8.9	3.3	1.2	0.2	2.6	18	0	21.3	1.8
Michael Finley	DAL	26	50	19	31	41.1	7.8	17.5	44.4	0.9	2.7	33.1	3.7	4.5	82.3	1.4	3.9	5.3	4.4	2.1	1.3	0.3	1.9	6	0	20.2	-1.2
Kobe Bryant	LAL	20	50	31	19	37.9	7.2	15.6	46.5	0.5	2.0	26.7	4.9	5.8	83.9	1.1	4.2	5.3	3.8	3.1	1.4	1.0	3.1	9	0	19.9	1.8
Mitch Richmond	WAS	33	50	18	32	38.2	6.6	16.1	41.2	1.4	4.4	31.7	5.0	5.9	85.7	0.6	2.8	3.4	2.4	2.7	1.3	0.2	2.4	1	0	19.7	-2.0
Toni Kukoc	CHI	30	44	13	31	37.6	7.2	17.0	42.1	0.9	3.1	28.7	3.6	4.9	74.0	1.5	5.6	7.0	5.3	2.8	1.1	0.3	1.9	12	0	18.8	-3.7
Steven Smith	ATL	30	36	25	11	36.5	6.0	15.0	40.2	1.3	3.9	33.8	5.3	6.3	84.9	1.4	2.8	4.2	3.3	2.8	1.0	0.3	2.8	1	0	18.7	6.5
Reggie Miller	IND	33	50	33	17	35.8	5.9	13.4	43.8	2.1	5.5	38.5	4.5	4.9	91.5	0.5	2.2	2.7	2.2	1.5	0.7	0.2	2.0	1	0	18.4	3.7
Vince Carter	TOR	22	50	23	27	35.2	6.9	15.3	45.0	0.4	1.3	28.8	4.1	5.4	76.1	1.9	3.8	5.7	3.0	2.2	1.1	1.5	2.8	6	0	18.3	0.9
Glen Rice	LAL	32	27	16	11	36.5	6.3	14.7	43.2	2.0	5.0	39.3	2.9	3.3	85.6	0.3	3.3	3.7	2.6	1.7	0.6	0.2	2.5	1	0	17.5	2.0
Tim Hardaway	MIA	32	48	32	16	36.8	6.3	15.7	40.0	2.3	6.5	36.0	2.5	3.1	81.2	0.3	2.9	3.2	7.3	2.7	1.2	0.1	2.1	5	0	17.4	4.9
Ray Allen	MIL	23	50	28	22	34.4	6.1	13.5	45.0	1.5	4.2	35.6	3.5	3.9	90.3	1.1	3.1	4.2	3.6	2.4	1.1	0.1	2.3	1	0	17.1	2.4
Ron Mercer	BOS	23	41	14	27	37.9	7.4	17.2	43.1	0.1	0.7	16.7	2.0	2.6	79.0	0.9	2.9	3.8	2.5	2.2	1.6	0.3	2.0	1	0	17.0	-4.3
Jason Kidd	PHX	26	50	27	23	41.3	6.2	14.0	44.4	0.9	2.5	36.6	3.6	4.8	75.7	1.7	5.0	6.8	10.8	3.0	2.3	0.4	2.2	30	7	16.9	4.3
Nick Van Exel	DEN	27	50	14	36	36.0	6.1	15.4	39.8	1.4	4.7	30.8	2.8	3.5	81.1	0.3	2.0	2.3	7.4	2.4	0.8	0.1	1.8	10	0	16.5	-6.1
Latrell Sprewell	NYK	28	37	18	19	33.4	5.8	14.0	41.5	0.6	2.1	27.3	4.2	5.2	81.2	1.1	3.1	4.2	2.5	2.1	1.2	0.1	1.8	0	0	16.4	-1.4
Allan Houston	NYK	28	50	27	23	36.3	5.9	14.1	41.8	1.1	2.8	40.7	3.4	3.9	86.2	0.4	2.6	3.0	2.7	2.6	0.7	0.2	2.3	0	0	16.3	1.2
Sam Cassell	MIL	29	8	2	6	24.9	4.9	11.6	41.9	0.3	1.3	20.0	5.9	6.3	94.0	0.6	1.3	1.9	4.5	2.5	1.1	0.0	2.8	0	0	15.9	5.0
Anfernee Hardaway	ORL	27	50	33	17	38.9	6.0	14.3	42.0	0.8	2.8	28.6	3.0	4.2	70.6	1.5	4.2	5.7	5.3	3.0	2.2	0.5	2.2	9	0	15.8	2.6
Rod Strickland	WAS	32	44	16	28	37.1	5.7	13.7	41.6	0.3	1.0	28.6	4.0	5.4	74.6	1.3	3.5	4.8	9.9	3.2	1.7	0.1	2.1	21	1	15.7	-0.4
Eddie Jones	CHH	27	50	33	17	37.6	5.2	11.9	43.7	1.0	2.8	33.8	4.2	5.4	78.2	1.0	2.9	3.9	3.7	1.9	2.5	1.2	2.6	0	0	15.6	4.0
Doug Christie	TOR	29	50	23	27	35.4	5.0	13.0	38.8	1.0	3.2	30.4	4.1	4.9	84.1	1.2	3.0	4.1	3.7	2.4	2.3	0.5	2.2	1	0	15.2	-2.2
Nick Anderson	ORL	31	47	30	17	33.6	5.4	13.6	39.5	2.0	5.9	34.7	2.1	3.4	61.1	1.1	4.8	5.9	1.9	1.8	1.4	0.3	1.5	5	0	14.9	1.9
Jerry Stackhouse	DET	24	42	24	18	28.3	4.3	11.6	37.1	0.8	3.0	27.8	5.0	5.9	85.0	0.6	1.9	2.5	2.8	2.9	0.8	0.5	1.9	1	0	14.5	0.5
Scottie Pippen	HOU	33	50	31	19	40.3	5.2	12.1	43.2	1.4	4.2	34.0	2.6	3.7	72.1	1.3	5.2	6.5	5.9	3.2	2.0	0.7	2.4	9	2	14.5	1.2
Bobby Phills	CHH	29	43	24	19	36.6	5.0	11.6	43.3	1.6	4.0	39.5	2.7	3.9	68.5	0.9	3.1	4.0	3.5	2.1	1.4	0.6	2.9	0	0	14.3	1.5
David Wesley	CHH	28	50	26	24	36.9	4.9	10.9	44.6	1.2	3.4	35.9	3.2	3.8	83.2	0.5	2.8	3.2	6.4	2.8	2.0	0.2	2.6	9	0	14.1	1.0
Isaiah Rider	POR	28	47	32	15	29.4	5.3	12.9	41.2	0.9	2.4	37.8	2.4	3.1	75.5	1.3	2.9	4.2	2.2	2.0	0.5	0.2	2.1	1	0	13.9	0.4
Terrell Brandon	MIN	29	36	20	16	33.9	5.9	14.1	41.8	0.3	1.3	25.5	1.8	2.2	83.3	0.8	3.0	3.7	8.6	2.1	1.8	0.3	2.3	13	0	13.9	0.9
Chauncey Billups	DEN	22	45	14	31	33.1	4.2	11.0	38.6	1.9	5.2	36.2	3.5	3.8	91.3	0.5	1.6	2.1	3.8	2.2	1.3	0.3	2.6	0	0	13.9	-4.3
John Starks	GSW	33	50	21	29	33.7	5.4	14.6	37.0	1.6	5.4	29.0	1.5	2.0	74.0	0.7	2.6	3.3	4.7	1.7	1.4	0.1	2.7	3	0	13.8	-1.7
Darrell Armstrong	ORL	31	50	33	17	30.1	4.6	10.4	44.1	1.4	3.8	36.5	3.2	3.6	90.4	1.1	2.5	3.6	6.7	3.2	2.2	0.1	1.8	7	0	13.8	3.8
Mookie Blaylock	ATL	32	48	30	18	36.7	5.1	13.6	37.9	1.6	5.2	30.7	1.4	1.9	75.8	0.9	3.7	4.7	5.8	2.4	2.1	0.2	1.3	5	1	13.3	4.6
Mike Bibby	VAN	21	50	8	42	35.1	5.2	12.1	43.0	0.3	1.5	20.3	2.5	3.4	75.1	0.6	2.1	2.7	6.5	2.9	1.6	0.1	2.4	6	0	13.2	-6.8
Kerry Kittles	NJN	25	46	14	32	34.2	4.9	13.3	37.0	1.1	3.4	31.6	1.9	2.5	77.2	1.1	3.0	4.2	2.5	1.4	1.7	0.6	1.8	2	0	12.9	-5.7
Jason Williams	SAC	23	50	27	23	36.1	4.6	12.3	37.4	2.0	6.5	31.0	1.6	2.1	75.2	0.3	2.8	3.1	6.0	2.9	1.9	0.0	1.8	5	0	12.8	-0.9
Damon Stoudamire	POR	25	50	35	15	33.5	5.0	12.6	39.6	0.9	2.8	31.0	1.8	2.4	73.0	0.8	2.5	3.3	6.2	2.2	1.0	0.1	1.6	0	0	12.6	1.7
Jeff Hornacek	UTA	36	48	36	12	29.9	4.5	9.4	47.7	0.7	1.7	42.0	2.6	2.9	89.3	0.7	2.6	3.3	4.0	1.7	1.1	0.3	2.0	0	0	12.2	7.0
Kenny Anderson	BOS	28	34	12	22	29.7	4.7	10.5	45.1	0.2	0.7	25.0	2.5	3.0	83.2	0.7	2.3	3.0	5.7	2.1	1.0	0.1	2.3	1	0	12.1	-3.7
Rex Chapman	PHX	31	38	21	17	31.1	4.3	12.1	35.9	1.4	4.0	35.1	2.0	2.4	83.5	0.3	2.4	2.7	2.9	1.4	0.9	0.2	1.2	0	0	12.1	2.6
Randy Livingston	PHX	24	1	1	0	22.3	5.0	8.0	62.5	0.0	0.0	0.0	2.0	2.0	100	0.0	2.0	2.0	3.0	1.0	2.0	0.0	1.0	0	0	12.0	6.0
Lindsey Hunter	DET	28	49	29	20	35.8	4.7	10.7	43.5	1.2	3.1	38.6	1.4	1.8	75.3	0.5	2.9	3.4	3.9	1.9	1.8	0.2	2.6	1	0	11.9	3.7
Kendall Gill	NJN	31	50	16	34	32.1	4.7	11.8	39.8	0.0	0.3	11.8	2.3	3.3	68.3	1.2	3.6	4.9	2.4	1.4	2.7	0.5	3.2	2	1	11.7	-2.8
Joe Dumars	DET	36	38	23	15	29.5	3.8	9.2	41.1	2.3	5.8	40.3	1.3	1.6	83.6	0.3	1.5	1.8	3.5	1.4	0.6	0.1	1.3	0	0	11.3	2.6
Ron Harper	CHI	35	35	9	26	31.6	4.2	11.1	37.7	0.8	2.4	31.8	2.0	2.9	70.3	1.4	3.7	5.1	3.3	1.9	1.7	1.0	2.3	1	0	11.2	-2.7
Wesley Person	CLE	28	45	22	23	29.8	4.4	9.7	45.3	1.7	4.4	37.5	0.7	1.2	60.4	0.4	2.7	3.2	1.8	0.9	0.8	0.4	1.2	0	0	11.2	-2.0
Dee Brown	TOR	30	49	23	26	28.2	3.8	10.1	37.8	2.8	7.1	38.7	0.8	1.1	72.7	0.3	1.8	2.1	2.9	1.6	1.1	0.2	1.6	0	0	11.2	-0.6
Brent Barry	CHI	27	37	10	27	31.9	3.8	9.6	39.6	1.4	4.6	30.2	2.1	2.7	77.2	1.1	2.8	3.9	3.1	1.9	1.1	0.3	2.6	1	0	11.1	-6.8
John Stockton	UTA	37	50	37	13	28.2	4.0	8.2	48.8	0.3	1.0	32.0	2.7	3.4	81.1	0.6	2.3	2.9	7.5	2.2	1.6	0.3	2.1	9	0	11.1	6.1
